Unnamed: 0,Economy_Label,CommercialMarket_Label,Average_age_of_vessels_years_Value,Average_age_of_vessels_years_MissingValue,Median_time_in_port_days_Value,Median_time_in_port_days_MissingValue,Average_size_GT_of_vessels_Value,Average_size_GT_of_vessels_MissingValue,Average_cargo_carrying_capacity_dwt_per_vessel_Value,Average_cargo_carrying_capacity_dwt_per_vessel_MissingValue,Average_container_carrying_capacity_TEU_per_container_ship_Value,Average_container_carrying_capacity_TEU_per_container_ship_MissingValue,Maximum_size_GT_of_vessels_Value,Maximum_size_GT_of_vessels_MissingValue,Maximum_cargo_carrying_capacity_dwt_of_vessels_Value,Maximum_cargo_carrying_capacity_dwt_of_vessels_MissingValue,Maximum_container_carrying_capacity_TEU_of_container_ships_Value,Maximum_container_carrying_capacity_TEU_of_container_ships_MissingValue,period
0,World,All ships,18,,1.07,,14285,,25725.0,,3407.0,,236583,,404389.0,,24000.0,,2022-S1
1,World,Liquid bulk carriers,15,,1.0,,16298,,28286.0,,,Not available or not separately reported,170618,,323183.0,,,Not available or not separately reported,2022-S1
2,World,Liquefied petroleum gas carriers,16,,1.03,,10726,,11986.0,,,Not available or not separately reported,60784,,64220.0,,,Not available or not separately reported,2022-S1
3,World,Liquefied natural gas carriers,12,,1.12,,96843,,75614.0,,,Not available or not separately reported,168189,,155159.0,,,Not available or not separately reported,2022-S1
4,World,Dry bulk carriers,14,,2.23,,32735,,58640.0,,,Not available or not separately reported,204014,,404389.0,,,Not available or not separately reported,2022-S1
5,World,Dry breakbulk carriers,21,,1.19,,5571,,7604.0,,,Not available or not separately reported,91784,,138743.0,,,Not available or not separately reported,2022-S1
6,World,Roll-on/ roll-off ships,17,,,Not available or not separately reported,25706,,10319.0,,,Not available or not separately reported,100430,,55828.0,,,Not available or not separately reported,2022-S1
7,World,Container ships,15,,0.84,,36855,,,Not available or not separately reported,3407.0,,236583,,,Not available or not separately reported,24000.0,,2022-S1
8,World,Passenger ships,20,,,Not available or not separately reported,8075,,,Not available or not separately reported,,Not available or not separately reported,235600,,,Not available or not separately reported,,Not available or not separately reported,2022-S1
9,Australia,All ships,17,,1.61,,32686,,82425.0,,4475.0,,152305,,297633.0,,9572.0,,2022-S1
10,Australia,Liquid bulk carriers,9,,1.32,,23888,,40398.0,,,Not available or not separately reported,84156,,157564.0,,,Not available or not separately reported,2022-S1
11,Australia,Liquefied petroleum gas carriers,8,,0.91,,14055,,15142.0,,,Not available or not separately reported,53471,,57748.0,,,Not available or not separately reported,2022-S1
12,Australia,Liquefied natural gas carriers,10,,1.25,,111880,,86177.0,,,Not available or not separately reported,149367,,97955.0,,,Not available or not separately reported,2022-S1
13,Australia,Dry bulk carriers,11,,1.69,,59339,,110964.0,,,Not available or not separately reported,152305,,297633.0,,,Not available or not separately reported,2022-S1
14,Australia,Dry breakbulk carriers,12,,2.23,,17715,,27077.0,,,Not available or not separately reported,57934,,80500.0,,,Not available or not separately reported,2022-S1
15,Australia,Roll-on/ roll-off ships,11,,,Not available or not separately reported,42498,,15559.0,,,Not available or not separately reported,76420,,43878.0,,,Not available or not separately reported,2022-S1
16,Australia,Container ships,14,,1.72,,49168,,,Not available or not separately reported,4475.0,,109712,,,Not available or not separately reported,9572.0,,2022-S1
17,Australia,Passenger ships,26,,,Not available or not separately reported,3615,,,Not available or not separately reported,,Not available or not separately reported,91627,,,Not available or not separately reported,,Not available or not separately reported,2022-S1
18,Canada,All ships,26,,0.97,,10931,,34424.0,,4709.0,,225282,,300837.0,,16000.0,,2022-S1
19,Canada,Liquid bulk carriers,12,,1.09,,25168,,42234.0,,,Not available or not separately reported,160462,,300837.0,,,Not available or not separately reported,2022-S1
20,Canada,Liquefied petroleum gas carriers,10,,1.47,,47594,,54660.0,,,Not available or not separately reported,48963,,58757.0,,,Not available or not separately reported,2022-S1
21,Canada,Dry bulk carriers,20,,0.56,,28491,,49249.0,,,Not available or not separately reported,109731,,210898.0,,,Not available or not separately reported,2022-S1
22,Canada,Dry breakbulk carriers,12,,0.7,,12010,,16472.0,,,Not available or not separately reported,40328,,55531.0,,,Not available or not separately reported,2022-S1
23,Canada,Roll-on/ roll-off ships,14,,,Not available or not separately reported,9989,,5184.0,,,Not available or not separately reported,100430,,55828.0,,,Not available or not separately reported,2022-S1
24,Canada,Container ships,16,,1.98,,51902,,,Not available or not separately reported,4709.0,,176546,,,Not available or not separately reported,16000.0,,2022-S1
25,Canada,Passenger ships,29,,,Not available or not separately reported,7020,,,Not available or not separately reported,,Not available or not separately reported,225282,,,Not available or not separately reported,,Not available or not separately reported,2022-S1
26,China,All ships,14,,1.16,,33241,,46318.0,,4446.0,,236583,,404389.0,,24000.0,,2022-S1
27,China,Liquid bulk carriers,12,,1.15,,19438,,33800.0,,,Not available or not separately reported,170618,,323183.0,,,Not available or not separately reported,2022-S1
28,China,Liquefied petroleum gas carriers,15,,1.04,,9885,,10706.0,,,Not available or not separately reported,60784,,64220.0,,,Not available or not separately reported,2022-S1
29,China,Liquefied natural gas carriers,11,,1.23,,101178,,81703.0,,,Not available or not separately reported,168189,,155159.0,,,Not available or not separately reported,2022-S1
30,China,Dry bulk carriers,14,,2.07,,42670,,77916.0,,,Not available or not separately reported,204014,,404389.0,,,Not available or not separately reported,2022-S1
31,China,Dry breakbulk carriers,17,,1.63,,10499,,14781.0,,,Not available or not separately reported,91649,,103652.0,,,Not available or not separately reported,2022-S1
32,China,Roll-on/ roll-off ships,13,,,Not available or not separately reported,31057,,10800.0,,,Not available or not separately reported,76420,,43878.0,,,Not available or not separately reported,2022-S1
33,China,Container ships,13,,0.77,,47428,,,Not available or not separately reported,4446.0,,236583,,,Not available or not separately reported,24000.0,,2022-S1
34,China,Passenger ships,12,,,Not available or not separately reported,21848,,,Not available or not separately reported,,Not available or not separately reported,77499,,,Not available or not separately reported,,Not available or not separately reported,2022-S1
35,Croatia,All ships,17,,1.33,,3783,,18222.0,,4002.0,,153744,,159385.0,,15226.0,,2022-S1
36,Croatia,Liquid bulk carriers,16,,0.98,,16657,,28365.0,,,Not available or not separately reported,84029,,159385.0,,,Not available or not separately reported,2022-S1
37,Croatia,Liquefied natural gas carriers,7,,2.2,,111313,,87621.0,,,Not available or not separately reported,126004,,94665.0,,,Not available or not separately reported,2022-S1
38,Croatia,Dry bulk carriers,24,,3.03,,18981,,33376.0,,,Not available or not separately reported,61677,,114045.0,,,Not available or not separately reported,2022-S1
39,Croatia,Dry breakbulk carriers,27,,2.21,,4151,,5586.0,,,Not available or not separately reported,66870,,71955.0,,,Not available or not separately reported,2022-S1
40,Croatia,Container ships,15,,0.77,,42555,,,Not available or not separately reported,4002.0,,153744,,,Not available or not separately reported,15226.0,,2022-S1
41,Croatia,Passenger ships,17,,,Not available or not separately reported,3355,,,Not available or not separately reported,,Not available or not separately reported,137936,,,Not available or not separately reported,,Not available or not separately reported,2022-S1
42,Denmark,All ships,21,,0.75,,10004,,7464.0,,1991.0,,214286,,182983.0,,19630.0,,2022-S1
43,Denmark,Liquid bulk carriers,17,,0.66,,7644,,12163.0,,,Not available or not separately reported,86990,,164028.0,,,Not available or not separately reported,2022-S1
44,Denmark,Liquefied petroleum gas carriers,11,,1.16,,4370,,4785.0,,,Not available or not separately reported,17840,,23484.0,,,Not available or not separately reported,2022-S1
45,Denmark,Dry bulk carriers,13,,0.83,,9663,,15905.0,,,Not available or not separately reported,94090,,182983.0,,,Not available or not separately reported,2022-S1
46,Denmark,Dry breakbulk carriers,24,,0.83,,2997,,4169.0,,,Not available or not separately reported,20236,,32269.0,,,Not available or not separately reported,2022-S1
47,Denmark,Roll-on/ roll-off ships,17,,,Not available or not separately reported,25653,,13805.0,,,Not available or not separately reported,72708,,48988.0,,,Not available or not separately reported,2022-S1
48,Denmark,Container ships,15,,0.56,,22080,,,Not available or not separately reported,1991.0,,214286,,,Not available or not separately reported,19630.0,,2022-S1
49,Denmark,Passenger ships,21,,,Not available or not separately reported,10404,,,Not available or not separately reported,,Not available or not separately reported,183200,,,Not available or not separately reported,,Not available or not separately reported,2022-S1
50,France,All ships,18,,1.21,,21356,,17633.0,,5073.0,,236583,,319778.0,,23964.0,,2022-S1
51,France,Liquid bulk carriers,13,,1.03,,12382,,20825.0,,,Not available or not separately reported,167168,,319778.0,,,Not available or not separately reported,2022-S1
52,France,Liquefied petroleum gas carriers,13,,1.11,,8716,,9828.0,,,Not available or not separately reported,49567,,55250.0,,,Not available or not separately reported,2022-S1
53,France,Liquefied natural gas carriers,9,,1.12,,106670,,82808.0,,,Not available or not separately reported,149367,,121935.0,,,Not available or not separately reported,2022-S1
54,France,Dry bulk carriers,15,,3.1,,25675,,45178.0,,,Not available or not separately reported,107526,,208521.0,,,Not available or not separately reported,2022-S1
55,France,Dry breakbulk carriers,18,,1.57,,4550,,6358.0,,,Not available or not separately reported,46295,,72871.0,,,Not available or not separately reported,2022-S1
56,France,Roll-on/ roll-off ships,18,,,Not available or not separately reported,26962,,11462.0,,,Not available or not separately reported,76420,,45200.0,,,Not available or not separately reported,2022-S1
57,France,Container ships,14,,1.12,,55262,,,Not available or not separately reported,5073.0,,236583,,,Not available or not separately reported,23964.0,,2022-S1
58,France,Passenger ships,20,,,Not available or not separately reported,22142,,,Not available or not separately reported,,Not available or not separately reported,235600,,,Not available or not separately reported,,Not available or not separately reported,2022-S1
59,Germany,All ships,21,,0.83,,13707,,9602.0,,4438.0,,236583,,319191.0,,23992.0,,2022-S1
60,Germany,Liquid bulk carriers,18,,0.53,,5055,,8285.0,,,Not available or not separately reported,162800,,319191.0,,,Not available or not separately reported,2022-S1
61,Germany,Liquefied petroleum gas carriers,14,,0.84,,5712,,6275.0,,,Not available or not separately reported,48060,,54543.0,,,Not available or not separately reported,2022-S1
62,Germany,Dry bulk carriers,12,,2.81,,31199,,54565.0,,,Not available or not separately reported,108828,,210898.0,,,Not available or not separately reported,2022-S1
63,Germany,Dry breakbulk carriers,22,,0.8,,3938,,4947.0,,,Not available or not separately reported,46295,,72927.0,,,Not available or not separately reported,2022-S1
64,Germany,Roll-on/ roll-off ships,17,,,Not available or not separately reported,30359,,12722.0,,,Not available or not separately reported,100430,,55828.0,,,Not available or not separately reported,2022-S1
65,Germany,Container ships,14,,1.27,,48304,,,Not available or not separately reported,4438.0,,236583,,,Not available or not separately reported,23992.0,,2022-S1
66,Germany,Passenger ships,22,,,Not available or not separately reported,12124,,,Not available or not separately reported,,Not available or not separately reported,183200,,,Not available or not separately reported,,Not available or not separately reported,2022-S1
67,Greece,All ships,22,,0.87,,7937,,7550.0,,4275.0,,219688,,167295.0,,21237.0,,2022-S1
68,Greece,Liquid bulk carriers,22,,0.6,,5131,,8040.0,,,Not available or not separately reported,84796,,167295.0,,,Not available or not separately reported,2022-S1
69,Greece,Liquefied petroleum gas carriers,25,,0.87,,5115,,5884.0,,,Not available or not separately reported,17242,,19621.0,,,Not available or not separately reported,2022-S1
70,Greece,Liquefied natural gas carriers,8,,1.01,,107339,,83865.0,,,Not available or not separately reported,135951,,99025.0,,,Not available or not separately reported,2022-S1
71,Greece,Dry bulk carriers,26,,0.76,,7636,,12723.0,,,Not available or not separately reported,47051,,87144.0,,,Not available or not separately reported,2022-S1
72,Greece,Dry breakbulk carriers,34,,1.19,,2899,,4009.0,,,Not available or not separately reported,39463,,52313.0,,,Not available or not separately reported,2022-S1
73,Greece,Roll-on/ roll-off ships,35,,,Not available or not separately reported,15824,,6702.0,,,Not available or not separately reported,76420,,48988.0,,,Not available or not separately reported,2022-S1
74,Greece,Container ships,17,,1.19,,45594,,,Not available or not separately reported,4275.0,,219688,,,Not available or not separately reported,21237.0,,2022-S1
75,Greece,Passenger ships,21,,,Not available or not separately reported,7268,,,Not available or not separately reported,,Not available or not separately reported,181541,,,Not available or not separately reported,,Not available or not separately reported,2022-S1
76,Indonesia,All ships,21,,1.28,,7796,,17116.0,,1167.0,,136740,,230000.0,,8204.0,,2022-S1
77,Indonesia,Liquid bulk carriers,17,,1.3,,8871,,13880.0,,,Not available or not separately reported,85436,,162090.0,,,Not available or not separately reported,2022-S1
78,Indonesia,Liquefied petroleum gas carriers,21,,1.09,,8411,,9126.0,,,Not available or not separately reported,53573,,58811.0,,,Not available or not separately reported,2022-S1
79,Indonesia,Liquefied natural gas carriers,17,,1.42,,96072,,72353.0,,,Not available or not separately reported,136740,,97730.0,,,Not available or not separately reported,2022-S1
80,Indonesia,Dry bulk carriers,19,,2.95,,26212,,46246.0,,,Not available or not separately reported,113628,,230000.0,,,Not available or not separately reported,2022-S1
81,Indonesia,Dry breakbulk carriers,21,,1.23,,5138,,6998.0,,,Not available or not separately reported,57934,,138743.0,,,Not available or not separately reported,2022-S1
82,Indonesia,Roll-on/ roll-off ships,32,,,Not available or not separately reported,10060,,4551.0,,,Not available or not separately reported,75206,,28092.0,,,Not available or not separately reported,2022-S1
83,Indonesia,Container ships,16,,1.04,,13145,,,Not available or not separately reported,1167.0,,91649,,,Not available or not separately reported,8204.0,,2022-S1
84,Indonesia,Passenger ships,22,,,Not available or not separately reported,5133,,,Not available or not separately reported,,Not available or not separately reported,20563,,,Not available or not separately reported,,Not available or not separately reported,2022-S1
85,Italy,All ships,27,,1.38,,10046,,19902.0,,3522.0,,235600,,313049.0,,23964.0,,2022-S1
86,Italy,Liquid bulk carriers,19,,1.28,,17376,,29523.0,,,Not available or not separately reported,157477,,299999.0,,,Not available or not separately reported,2022-S1
87,Italy,Liquefied petroleum gas carriers,15,,1.52,,8347,,9448.0,,,Not available or not separately reported,48051,,55047.0,,,Not available or not separately reported,2022-S1
88,Italy,Liquefied natural gas carriers,15,,2.4,,42529,,30177.0,,,Not available or not separately reported,52855,,39520.0,,,Not available or not separately reported,2022-S1
89,Italy,Dry bulk carriers,15,,4.08,,26259,,45539.0,,,Not available or not separately reported,151915,,313049.0,,,Not available or not separately reported,2022-S1
90,Italy,Dry breakbulk carriers,20,,1.89,,5930,,8272.0,,,Not available or not separately reported,66870,,72914.0,,,Not available or not separately reported,2022-S1
91,Italy,Roll-on/ roll-off ships,14,,,Not available or not separately reported,35069,,13703.0,,,Not available or not separately reported,76420,,45200.0,,,Not available or not separately reported,2022-S1
92,Italy,Container ships,17,,1.04,,38547,,,Not available or not separately reported,3522.0,,232618,,,Not available or not separately reported,23964.0,,2022-S1
93,Italy,Passenger ships,29,,,Not available or not separately reported,7339,,,Not available or not separately reported,,Not available or not separately reported,235600,,,Not available or not separately reported,,Not available or not separately reported,2022-S1
94,Japan,All ships,14,,0.42,,10111,,15391.0,,1529.0,,165541,,327017.0,,14336.0,,2022-S1
95,Japan,Liquid bulk carriers,12,,0.31,,8247,,13980.0,,,Not available or not separately reported,165541,,322861.0,,,Not available or not separately reported,2022-S1
96,Japan,Liquefied petroleum gas carriers,13,,0.34,,7042,,7674.0,,,Not available or not separately reported,51035,,58757.0,,,Not available or not separately reported,2022-S1
97,Japan,Liquefied natural gas carriers,14,,1.01,,69123,,49931.0,,,Not available or not separately reported,149367,,122079.0,,,Not available or not separately reported,2022-S1
98,Japan,Dry bulk carriers,14,,0.8,,17084,,29632.0,,,Not available or not separately reported,161294,,327017.0,,,Not available or not separately reported,2022-S1
99,Japan,Dry breakbulk carriers,15,,1.22,,6929,,9406.0,,,Not available or not separately reported,66870,,138743.0,,,Not available or not separately reported,2022-S1
100,Japan,Roll-on/ roll-off ships,12,,,Not available or not separately reported,17025,,7440.0,,,Not available or not separately reported,76420,,43878.0,,,Not available or not separately reported,2022-S1
101,Japan,Container ships,14,,0.38,,15801,,,Not available or not separately reported,1529.0,,151015,,,Not available or not separately reported,14336.0,,2022-S1
102,Japan,Passenger ships,16,,,Not available or not separately reported,4484,,,Not available or not separately reported,,Not available or not separately reported,50444,,,Not available or not separately reported,,Not available or not separately reported,2022-S1
103,"Korea, Republic of",All ships,15,,0.88,,18842,,21259.0,,2849.0,,236583,,326932.0,,23992.0,,2022-S1
104,"Korea, Republic of",Liquid bulk carriers,13,,0.74,,13823,,23823.0,,,Not available or not separately reported,170611,,323182.0,,,Not available or not separately reported,2022-S1
105,"Korea, Republic of",Liquefied petroleum gas carriers,14,,0.8,,7868,,8584.0,,,Not available or not separately reported,60783,,64012.0,,,Not available or not separately reported,2022-S1
106,"Korea, Republic of",Liquefied natural gas carriers,12,,1.05,,109322,,87462.0,,,Not available or not separately reported,168189,,155159.0,,,Not available or not separately reported,2022-S1
107,"Korea, Republic of",Dry bulk carriers,13,,2.5,,30258,,54270.0,,,Not available or not separately reported,173756,,326932.0,,,Not available or not separately reported,2022-S1
108,"Korea, Republic of",Dry breakbulk carriers,20,,1.17,,5228,,7652.0,,,Not available or not separately reported,91649,,138743.0,,,Not available or not separately reported,2022-S1
109,"Korea, Republic of",Roll-on/ roll-off ships,20,,,Not available or not separately reported,26175,,10747.0,,,Not available or not separately reported,76420,,38500.0,,,Not available or not separately reported,2022-S1
110,"Korea, Republic of",Container ships,14,,0.73,,30479,,,Not available or not separately reported,2849.0,,236583,,,Not available or not separately reported,23992.0,,2022-S1
111,"Korea, Republic of",Passenger ships,12,,,Not available or not separately reported,17839,,,Not available or not separately reported,,Not available or not separately reported,35187,,,Not available or not separately reported,,Not available or not separately reported,2022-S1
112,Netherlands (Kingdom of the),All ships,18,,0.64,,13348,,15394.0,,2812.0,,236583,,399821.0,,23992.0,,2022-S1
113,Netherlands (Kingdom of the),Liquid bulk carriers,17,,0.61,,9957,,18386.0,,,Not available or not separately reported,163465,,321300.0,,,Not available or not separately reported,2022-S1
114,Netherlands (Kingdom of the),Liquefied petroleum gas carriers,15,,0.98,,6952,,7678.0,,,Not available or not separately reported,49567,,58811.0,,,Not available or not separately reported,2022-S1
115,Netherlands (Kingdom of the),Liquefied natural gas carriers,6,,1.04,,84937,,66012.0,,,Not available or not separately reported,139050,,98936.0,,,Not available or not separately reported,2022-S1
116,Netherlands (Kingdom of the),Dry bulk carriers,11,,1.15,,38989,,70083.0,,,Not available or not separately reported,197453,,399821.0,,,Not available or not separately reported,2022-S1
117,Netherlands (Kingdom of the),Dry breakbulk carriers,21,,0.43,,3900,,5218.0,,,Not available or not separately reported,91784,,116173.0,,,Not available or not separately reported,2022-S1
118,Netherlands (Kingdom of the),Roll-on/ roll-off ships,23,,,Not available or not separately reported,17183,,6619.0,,,Not available or not separately reported,76420,,48988.0,,,Not available or not separately reported,2022-S1
119,Netherlands (Kingdom of the),Container ships,16,,0.89,,30203,,,Not available or not separately reported,2812.0,,236583,,,Not available or not separately reported,23992.0,,2022-S1
120,Netherlands (Kingdom of the),Passenger ships,15,,,Not available or not separately reported,14760,,,Not available or not separately reported,,Not available or not separately reported,184089,,,Not available or not separately reported,,Not available or not separately reported,2022-S1
121,Norway,All ships,13,,0.42,,4080,,7375.0,,809.0,,184089,,320780.0,,1875.0,,2022-S1
122,Norway,Liquid bulk carriers,15,,0.61,,11456,,18616.0,,,Not available or not separately reported,162614,,320780.0,,,Not available or not separately reported,2022-S1
123,Norway,Liquefied petroleum gas carriers,11,,0.79,,7902,,8466.0,,,Not available or not separately reported,37366,,42543.0,,,Not available or not separately reported,2022-S1
124,Norway,Liquefied natural gas carriers,17,,0.31,,7970,,5500.0,,,Not available or not separately reported,121597,,88797.0,,,Not available or not separately reported,2022-S1
125,Norway,Dry bulk carriers,15,,0.81,,19551,,33108.0,,,Not available or not separately reported,107879,,209114.0,,,Not available or not separately reported,2022-S1
126,Norway,Dry breakbulk carriers,24,,0.33,,2810,,3418.0,,,Not available or not separately reported,42515,,62000.0,,,Not available or not separately reported,2022-S1
127,Norway,Roll-on/ roll-off ships,18,,,Not available or not separately reported,11384,,6991.0,,,Not available or not separately reported,70853,,27343.0,,,Not available or not separately reported,2022-S1
128,Norway,Container ships,18,,0.35,,8542,,,Not available or not separately reported,809.0,,17488,,,Not available or not separately reported,1875.0,,2022-S1
129,Norway,Passenger ships,12,,,Not available or not separately reported,3957,,,Not available or not separately reported,,Not available or not separately reported,184089,,,Not available or not separately reported,,Not available or not separately reported,2022-S1
130,Philippines,All ships,19,,0.97,,7244,,11878.0,,1577.0,,151094,,297442.0,,6350.0,,2022-S1
131,Philippines,Liquid bulk carriers,13,,0.85,,7176,,11451.0,,,Not available or not separately reported,65552,,114644.0,,,Not available or not separately reported,2022-S1
132,Philippines,Liquefied petroleum gas carriers,16,,0.75,,7227,,8270.0,,,Not available or not separately reported,50174,,58814.0,,,Not available or not separately reported,2022-S1
133,Philippines,Dry bulk carriers,14,,4.7,,26622,,47029.0,,,Not available or not separately reported,151094,,297442.0,,,Not available or not separately reported,2022-S1
134,Philippines,Dry breakbulk carriers,21,,0.93,,4096,,5435.0,,,Not available or not separately reported,49091,,63581.0,,,Not available or not separately reported,2022-S1
135,Philippines,Roll-on/ roll-off ships,27,,,Not available or not separately reported,16738,,7530.0,,,Not available or not separately reported,63004,,31801.0,,,Not available or not separately reported,2022-S1
136,Philippines,Container ships,17,,0.94,,17135,,,Not available or not separately reported,1577.0,,71821,,,Not available or not separately reported,6350.0,,2022-S1
137,Philippines,Passenger ships,20,,,Not available or not separately reported,3659,,,Not available or not separately reported,,Not available or not separately reported,75904,,,Not available or not separately reported,,Not available or not separately reported,2022-S1
138,Russian Federation,All ships,24,,1.68,,13434,,20519.0,,1417.0,,128975,,181458.0,,8600.0,,2022-S1
139,Russian Federation,Liquid bulk carriers,21,,1.24,,16952,,29175.0,,,Not available or not separately reported,87146,,167282.0,,,Not available or not separately reported,2022-S1
140,Russian Federation,Liquefied petroleum gas carriers,17,,2.02,,10083,,11942.0,,,Not available or not separately reported,18425,,23273.0,,,Not available or not separately reported,2022-S1
141,Russian Federation,Liquefied natural gas carriers,10,,1.07,,99471,,72619.0,,,Not available or not separately reported,128975,,97000.0,,,Not available or not separately reported,2022-S1
142,Russian Federation,Dry bulk carriers,16,,2.62,,27152,,47497.0,,,Not available or not separately reported,94970,,181458.0,,,Not available or not separately reported,2022-S1
143,Russian Federation,Dry breakbulk carriers,29,,2.17,,4559,,6061.0,,,Not available or not separately reported,84503,,138743.0,,,Not available or not separately reported,2022-S1
144,Russian Federation,Roll-on/ roll-off ships,32,,,Not available or not separately reported,11074,,5772.0,,,Not available or not separately reported,58250,,22910.0,,,Not available or not separately reported,2022-S1
145,Russian Federation,Container ships,17,,1.7,,15756,,,Not available or not separately reported,1417.0,,96628,,,Not available or not separately reported,8600.0,,2022-S1
146,Russian Federation,Passenger ships,30,,,Not available or not separately reported,7497,,,Not available or not separately reported,,Not available or not separately reported,12288,,,Not available or not separately reported,,Not available or not separately reported,2022-S1
147,Singapore,All ships,12,,0.76,,25519,,19580.0,,5320.0,,236583,,323183.0,,23964.0,,2022-S1
148,Singapore,Liquid bulk carriers,11,,0.65,,11780,,19788.0,,,Not available or not separately reported,170611,,323183.0,,,Not available or not separately reported,2022-S1
149,Singapore,Liquefied petroleum gas carriers,15,,1.08,,7180,,8039.0,,,Not available or not separately reported,50676,,58448.0,,,Not available or not separately reported,2022-S1
150,Singapore,Liquefied natural gas carriers,9,,1.28,,102828,,79931.0,,,Not available or not separately reported,144828,,121730.0,,,Not available or not separately reported,2022-S1
151,Singapore,Dry bulk carriers,9,,0.23,,15394,,24373.0,,,Not available or not separately reported,112164,,209801.0,,,Not available or not separately reported,2022-S1
152,Singapore,Dry breakbulk carriers,16,,0.86,,8855,,13118.0,,,Not available or not separately reported,91649,,138743.0,,,Not available or not separately reported,2022-S1
153,Singapore,Roll-on/ roll-off ships,15,,,Not available or not separately reported,54345,,17919.0,,,Not available or not separately reported,76420,,43878.0,,,Not available or not separately reported,2022-S1
154,Singapore,Container ships,14,,0.95,,57001,,,Not available or not separately reported,5320.0,,236583,,,Not available or not separately reported,23964.0,,2022-S1
155,Singapore,Passenger ships,8,,,Not available or not separately reported,80329,,,Not available or not separately reported,,Not available or not separately reported,169379,,,Not available or not separately reported,,Not available or not separately reported,2022-S1
156,Spain,All ships,17,,0.93,,17097,,16621.0,,3157.0,,236583,,314014.0,,23964.0,,2022-S1
157,Spain,Liquid bulk carriers,13,,0.89,,11684,,19302.0,,,Not available or not separately reported,160682,,314014.0,,,Not available or not separately reported,2022-S1
158,Spain,Liquefied petroleum gas carriers,12,,1.01,,7833,,8843.0,,,Not available or not separately reported,48600,,55076.0,,,Not available or not separately reported,2022-S1
159,Spain,Liquefied natural gas carriers,9,,1.06,,99072,,77044.0,,,Not available or not separately reported,163922,,130441.0,,,Not available or not separately reported,2022-S1
160,Spain,Dry bulk carriers,14,,1.87,,26536,,46280.0,,,Not available or not separately reported,107761,,209472.0,,,Not available or not separately reported,2022-S1
161,Spain,Dry breakbulk carriers,17,,1.19,,5109,,7195.0,,,Not available or not separately reported,91784,,116173.0,,,Not available or not separately reported,2022-S1
